tanggal_uji,nomor_kendaraan,merek,bahan_bakar,tipe,tahun_pembuatan,alat_uji,ket
2020-01-30,B2405TFY,TOYOTA,Bensin,MPV/ MINI BUS,2016,NEOMOTECH / CG 450 / 4N10K0108,Lulus
2020-01-29,B2085TKK,ISUZU,Solar,MPV/ MINI BUS,2016,neomotec / CG450 / 4NG10101,Lulus
2020-01-29,F145BIL,TOYOTA,Bensin,MPV/ MINI BUS,2013,SUK YOUNG MACHINE AND TOOLS IND CO / OPACITY SMOOKEMETER CGO-600 / 133909-GA401,Lulus
2020-01-29,B2476TZR,TOYOTA,Solar,MPV/ MINI BUS,2018,Brain Bee / Opa 100 / 110909000113,Lulus
2020-01-29,B2931TFQ,NISSAN,Bensin,MPV/ MINI BUS,2016,neomotec / CG450 / 4NG10101,Lulus
2020-01-29,B2476STE,TOYOTA,Bensin,MPV/ MINI BUS,2015,Brain Bee / Opa 100 / 110909000113,Lulus
2020-01-29,B2765TFF,TOYOTA,Bensin,MPV/ MINI BUS,2015,sukyoung / sy-GA401 / 181105-GA401,Lulus
2020-01-29,B7620JD,TOYOTA,Bensin,MPV/ MINI BUS,2008,neomotec / CG450 / 4NG10101,Lulus
2020-01-29,B1755TKY,TOYOTA,Bensin,MPV/ MINI BUS,2011,sukyoung / sy-GA401 / 181105-GA401,Lulus
2020-01-29,B2567UKM,TOYOTA,Bensin,MPV/ MINI BUS,2018,neomotec / CG450 / 4NG10101,Lulus
2020-01-29,B1665TKY,TOYOTA,Bensin,MPV/ MINI BUS,2011,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-29,B1060TJQ,HONDA,Bensin,SUV,2018,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-29,B1872SZN,TOYOTA,Bensin,MPV/ MINI BUS,2012,Qrotech / QRO-401 / -,Lulus
2020-01-29,B1291BFV,DAIHATSU,Bensin,PICK UP,2009,Qrotech / QRO-401 / -,Lulus
2020-01-29,B9420KEH,HINO,Solar,TRUCK,2017,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-29,B9091TEI,HINO,Solar,TRUCK,2014,Qrotech / QRO-401 / -,Lulus
2020-01-29,B9186TEI,HINO,Solar,TRUCK,2014,Qrotech / QRO-401 / -,Lulus
2020-01-29,B9238SEH,NISSAN,Solar,TRUCK,2012,NEOMOTECH / CG 450 / 4N11D017,Lulus
2020-01-29,B9187TEI,HINO,Solar,TRUCK,2014,Brainbee / AGS688 + OPA 100 / 10081153,Lulus
2020-01-29,B9833TEH,HINO,Solar,TRUCK,2013,SUKYOUUNG . 410 / SUKYOUUNG . 410 / 121705,Lulus
2020-01-29,B9875TEH,HINO,Solar,TRUCK,2013,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-29,B2638SYV,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-29,B2313SYW,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-29,B2253SYU,TOYOTA,Bensin,MPV/ MINI BUS,2019,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-29,B2774SBF,HONDA,Bensin,SUV,2015,neomotec / CG450 / 4NG10101,Lulus
2020-01-29,B9870PCC,DAIHATSU,Bensin,MPV/ MINI BUS,2011,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B1974URE,TOYOTA,Bensin,MPV/ MINI BUS,2013,Qrotech / QRO-401 / -,Lulus
2020-01-28,B1312TKJ,TOYOTA,Bensin,MPV/ MINI BUS,2010,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B1030TKJ,TOYOTA,Bensin,MPV/ MINI BUS,2010,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B2906TOC,TOYOTA,Bensin,MPV/ MINI BUS,2017,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B1506TZP,SUZUKI,Bensin,MPV/ MINI BUS,2012,Qrotech / QRO-401 / -,Lulus
2020-01-28,B2624TZD,TOYOTA,Solar,MPV/ MINI BUS,2018,neomotec / CG450 / 4NG10101,Lulus
2020-01-28,B2638TKO,TOYOTA,Solar,MPV/ MINI BUS,2016,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B2301TYJ,TOYOTA,Bensin,MPV/ MINI BUS,2019,Qrotech / QRO-401 / -,Lulus
2020-01-28,B1054TIX,DAIHATSU,Bensin,MPV/ MINI BUS,2011,BREINBIEE / AGS688 / OPA100,Tidak Lulus
2020-01-28,B1032TJK,HONDA,Bensin,SUV,2015,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B9931TEH,HINO,Solar,TRUCK,2013,Qrotech / QRO-401 / -,Lulus
2020-01-28,B9930TEH,HINO,Solar,TRUCK,2013,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B9418KEH,HINO,Solar,TRUCK,2017,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B9068SEH,HINO,Solar,TRUCK,2011,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B9188TEI,HINO,Solar,TRUCK,2014,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B9092TEI,HINO,Solar,TRUCK,2014,Qrotech / QRO-401 / -,Lulus
2020-01-28,B9195KYT,NISSAN,Solar,TRUCK,2012,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B9404VD,MITSUBISHI,Solar,PICK UP,2010,Qrotech / QRO-401 / -,Lulus
2020-01-28,B9267S,ISUZU,Solar,BOX,1999,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B9595TAE,ISUZU,Solar,PICK UP,2012,Qrotech / QRO-401 / -,Lulus
2020-01-28,B9243XJ,MITSUBISHI,Solar,TRUCK,2005,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B1298TJN,HONDA,Bensin,SUV,2017,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B2429BZT,DAIHATSU,Bensin,MPV/ MINI BUS,2018,NEOMOTECH / CG 450 / 4N11D017,Lulus
2020-01-28,B2773BYD,DAIHATSU,Bensin,MPV/ MINI BUS,2018,Qrotech / QRO-401 / -,Lulus
2020-01-28,B2174SZU,DAIHATSU,Bensin,MPV/ MINI BUS,2018,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B1611ZKO,DAIHATSU,Bensin,MPV/ MINI BUS,2019,Qrotech / QRO-401 / -,Lulus
2020-01-28,B2637SZA,DAIHATSU,Bensin,MPV/ MINI BUS,2017,BREINBIEE / AGS688 / OPA100,Lulus
2020-01-28,B2041SKD,DAIHATSU,Bensin,MPV/ MINI BUS,2015,Qrotech / QRO-401 / -,Lulus
2020-01-28,B9590VCB,DAIHATSU,Bensin,PICK UP,2017,Qrotech / QRO-401 / -,Lulus
2020-01-28,B1323TKO,DAIHATSU,Bensin,MPV/ MINI BUS,2010,Qrotech / QRO-401 / -,Lulus
2020-01-28,B1691VOB,DAIHATSU,Bensin,MPV/ MINI BUS,2018,Qrotech / QRO-401 / -,Lulus
2020-01-27,B2080BIE,DAIHATSU,Bensin,MPV/ MINI BUS,2019,Qrotech / QRO-401 / -,Lulus
2020-01-27,B1127UYA,TOYOTA,Bensin,MPV/ MINI BUS,2014,Qrotech / QRO-401 / -,Lulus
2020-01-27,B1416TZP,TOYOTA,Bensin,MPV/ MINI BUS,2012,Qrotech / QRO-401 / -,Lulus
2020-01-27,B9113WXR,ISUZU,Solar,BOX,2018,Qrotech / QRO-401 / -,Lulus
2020-01-27,B9534UIT,ISUZU,Solar,TRUCK,2017,Qrotech / QRO-401 / -,Lulus
